Preference
	Pop size: 1000		Infection Rate: 0.1
	Initial infected: 200	Initial recovered: 0
	Run (years): 1
Simulation started.
1 : S: 733 I: 267
2 : S: 657 I: 343
3 : S: 588 I: 412
4 : S: 522 I: 478
5 : S: 472 I: 528
6 : S: 430 I: 570
7 : S: 387 I: 613
8 : S: 347 I: 653
9 : S: 316 I: 684
10 : S: 292 I: 708
11 : S: 262 I: 738
12 : S: 233 I: 767
13 : S: 208 I: 792
14 : S: 188 I: 812
15 : S: 168 I: 832
16 : S: 154 I: 846
17 : S: 140 I: 860
18 : S: 124 I: 876
19 : S: 109 I: 891
20 : S: 96 I: 904
21 : S: 86 I: 914
22 : S: 74 I: 926
23 : S: 69 I: 931
24 : S: 62 I: 938
25 : S: 54 I: 946
26 : S: 47 I: 953
27 : S: 43 I: 957
28 : S: 40 I: 960
29 : S: 38 I: 962
30 : S: 36 I: 964
31 : S: 34 I: 966
32 : S: 31 I: 969
33 : S: 29 I: 971
34 : S: 28 I: 972
35 : S: 26 I: 974
36 : S: 21 I: 979
37 : S: 19 I: 981
38 : S: 17 I: 983
39 : S: 16 I: 984
40 : S: 14 I: 986
41 : S: 13 I: 987
42 : S: 12 I: 988
43 : S: 12 I: 988
44 : S: 11 I: 989
45 : S: 7 I: 993
46 : S: 7 I: 993
47 : S: 7 I: 993
48 : S: 7 I: 993
49 : S: 7 I: 993
50 : S: 6 I: 994
51 : S: 6 I: 994
52 : S: 6 I: 994
53 : S: 5 I: 995
54 : S: 5 I: 995
55 : S: 5 I: 995
56 : S: 3 I: 997
57 : S: 2 I: 998
58 : S: 2 I: 998
59 : S: 1 I: 999
60 : S: 1 I: 999
61 : S: 1 I: 999
62 : S: 1 I: 999
63 : S: 0 I: 1000
64 : S: 0 I: 1000
65 : S: 0 I: 1000
66 : S: 0 I: 1000
67 : S: 0 I: 1000
68 : S: 0 I: 1000
69 : S: 0 I: 1000
70 : S: 0 I: 1000
71 : S: 0 I: 1000
72 : S: 0 I: 1000
73 : S: 0 I: 1000
74 : S: 0 I: 1000
75 : S: 0 I: 1000
76 : S: 0 I: 1000
77 : S: 0 I: 1000
78 : S: 0 I: 1000
79 : S: 0 I: 1000
80 : S: 0 I: 1000
81 : S: 0 I: 1000
82 : S: 0 I: 1000
83 : S: 0 I: 1000
84 : S: 0 I: 1000
85 : S: 0 I: 1000
86 : S: 0 I: 1000
87 : S: 0 I: 1000
88 : S: 0 I: 1000
89 : S: 0 I: 1000
90 : S: 0 I: 1000
91 : S: 0 I: 1000
92 : S: 0 I: 1000
93 : S: 0 I: 1000
94 : S: 0 I: 1000
95 : S: 0 I: 1000
96 : S: 0 I: 1000
97 : S: 0 I: 1000
98 : S: 0 I: 1000
99 : S: 0 I: 1000
100 : S: 0 I: 1000
101 : S: 0 I: 1000
102 : S: 0 I: 1000
103 : S: 0 I: 1000
104 : S: 0 I: 1000
105 : S: 0 I: 1000
106 : S: 0 I: 1000
107 : S: 0 I: 1000
108 : S: 0 I: 1000
109 : S: 0 I: 1000
110 : S: 0 I: 1000
111 : S: 0 I: 1000
112 : S: 0 I: 1000
113 : S: 0 I: 1000
114 : S: 0 I: 1000
115 : S: 0 I: 1000
116 : S: 0 I: 1000
117 : S: 0 I: 1000
118 : S: 0 I: 1000
119 : S: 0 I: 1000
120 : S: 0 I: 1000
121 : S: 0 I: 1000
122 : S: 0 I: 1000
123 : S: 0 I: 1000
124 : S: 0 I: 1000
125 : S: 0 I: 1000
126 : S: 0 I: 1000
127 : S: 0 I: 1000
128 : S: 0 I: 1000
129 : S: 0 I: 1000
130 : S: 0 I: 1000
131 : S: 0 I: 1000
132 : S: 0 I: 1000
133 : S: 0 I: 1000
134 : S: 0 I: 1000
135 : S: 0 I: 1000
136 : S: 0 I: 1000
137 : S: 0 I: 1000
138 : S: 0 I: 1000
139 : S: 0 I: 1000
140 : S: 0 I: 1000
141 : S: 0 I: 1000
142 : S: 0 I: 1000
143 : S: 0 I: 1000
144 : S: 0 I: 1000
145 : S: 0 I: 1000
146 : S: 0 I: 1000
147 : S: 0 I: 1000
148 : S: 0 I: 1000
149 : S: 0 I: 1000
150 : S: 0 I: 1000
151 : S: 0 I: 1000
152 : S: 0 I: 1000
153 : S: 0 I: 1000
154 : S: 0 I: 1000
155 : S: 0 I: 1000
156 : S: 0 I: 1000
157 : S: 0 I: 1000
158 : S: 0 I: 1000
159 : S: 0 I: 1000
160 : S: 0 I: 1000
161 : S: 0 I: 1000
162 : S: 0 I: 1000
163 : S: 0 I: 1000
164 : S: 0 I: 1000
165 : S: 0 I: 1000
166 : S: 0 I: 1000
167 : S: 0 I: 1000
168 : S: 0 I: 1000
169 : S: 0 I: 1000
170 : S: 0 I: 1000
171 : S: 0 I: 1000
172 : S: 0 I: 1000
173 : S: 0 I: 1000
174 : S: 0 I: 1000
175 : S: 0 I: 1000
176 : S: 0 I: 1000
177 : S: 0 I: 1000
178 : S: 0 I: 1000
179 : S: 0 I: 1000
180 : S: 0 I: 1000
181 : S: 0 I: 1000
182 : S: 0 I: 1000
183 : S: 0 I: 1000
184 : S: 0 I: 1000
185 : S: 0 I: 1000
186 : S: 0 I: 1000
187 : S: 0 I: 1000
188 : S: 0 I: 1000
189 : S: 0 I: 1000
190 : S: 0 I: 1000
191 : S: 0 I: 1000
192 : S: 0 I: 1000
193 : S: 0 I: 1000
194 : S: 0 I: 1000
195 : S: 0 I: 1000
196 : S: 0 I: 1000
197 : S: 0 I: 1000
198 : S: 0 I: 1000
199 : S: 0 I: 1000
200 : S: 0 I: 1000
201 : S: 0 I: 1000
202 : S: 0 I: 1000
203 : S: 0 I: 1000
204 : S: 0 I: 1000
205 : S: 0 I: 1000
206 : S: 0 I: 1000
207 : S: 0 I: 1000
208 : S: 0 I: 1000
209 : S: 0 I: 1000
210 : S: 0 I: 1000
211 : S: 0 I: 1000
212 : S: 0 I: 1000
213 : S: 0 I: 1000
214 : S: 0 I: 1000
215 : S: 0 I: 1000
216 : S: 0 I: 1000
217 : S: 0 I: 1000
218 : S: 0 I: 1000
219 : S: 0 I: 1000
220 : S: 0 I: 1000
221 : S: 0 I: 1000
222 : S: 0 I: 1000
223 : S: 0 I: 1000
224 : S: 0 I: 1000
225 : S: 0 I: 1000
226 : S: 0 I: 1000
227 : S: 0 I: 1000
228 : S: 0 I: 1000
229 : S: 0 I: 1000
230 : S: 0 I: 1000
231 : S: 0 I: 1000
232 : S: 0 I: 1000
233 : S: 0 I: 1000
234 : S: 0 I: 1000
235 : S: 0 I: 1000
236 : S: 0 I: 1000
237 : S: 0 I: 1000
238 : S: 0 I: 1000
239 : S: 0 I: 1000
240 : S: 0 I: 1000
241 : S: 0 I: 1000
242 : S: 0 I: 1000
243 : S: 0 I: 1000
244 : S: 0 I: 1000
245 : S: 0 I: 1000
246 : S: 0 I: 1000
247 : S: 0 I: 1000
248 : S: 0 I: 1000
249 : S: 0 I: 1000
250 : S: 0 I: 1000
251 : S: 0 I: 1000
252 : S: 0 I: 1000
253 : S: 0 I: 1000
254 : S: 0 I: 1000
255 : S: 0 I: 1000
256 : S: 0 I: 1000
257 : S: 0 I: 1000
258 : S: 0 I: 1000
259 : S: 0 I: 1000
260 : S: 0 I: 1000
261 : S: 0 I: 1000
262 : S: 0 I: 1000
263 : S: 0 I: 1000
264 : S: 0 I: 1000
265 : S: 0 I: 1000
266 : S: 0 I: 1000
267 : S: 0 I: 1000
268 : S: 0 I: 1000
269 : S: 0 I: 1000
270 : S: 0 I: 1000
271 : S: 0 I: 1000
272 : S: 0 I: 1000
273 : S: 0 I: 1000
274 : S: 0 I: 1000
275 : S: 0 I: 1000
276 : S: 0 I: 1000
277 : S: 0 I: 1000
278 : S: 0 I: 1000
279 : S: 0 I: 1000
280 : S: 0 I: 1000
281 : S: 0 I: 1000
282 : S: 0 I: 1000
283 : S: 0 I: 1000
284 : S: 0 I: 1000
285 : S: 0 I: 1000
286 : S: 0 I: 1000
287 : S: 0 I: 1000
288 : S: 0 I: 1000
289 : S: 0 I: 1000
290 : S: 0 I: 1000
291 : S: 0 I: 1000
292 : S: 0 I: 1000
293 : S: 0 I: 1000
294 : S: 0 I: 1000
295 : S: 0 I: 1000
296 : S: 0 I: 1000
297 : S: 0 I: 1000
298 : S: 0 I: 1000
299 : S: 0 I: 1000
300 : S: 0 I: 1000
301 : S: 0 I: 1000
302 : S: 0 I: 1000
303 : S: 0 I: 1000
304 : S: 0 I: 1000
305 : S: 0 I: 1000
306 : S: 0 I: 1000
307 : S: 0 I: 1000
308 : S: 0 I: 1000
309 : S: 0 I: 1000
310 : S: 0 I: 1000
311 : S: 0 I: 1000
312 : S: 0 I: 1000
313 : S: 0 I: 1000
314 : S: 0 I: 1000
315 : S: 0 I: 1000
316 : S: 0 I: 1000
317 : S: 0 I: 1000
318 : S: 0 I: 1000
319 : S: 0 I: 1000
320 : S: 0 I: 1000
321 : S: 0 I: 1000
322 : S: 0 I: 1000
323 : S: 0 I: 1000
324 : S: 0 I: 1000
325 : S: 0 I: 1000
326 : S: 0 I: 1000
327 : S: 0 I: 1000
328 : S: 0 I: 1000
329 : S: 0 I: 1000
330 : S: 0 I: 1000
331 : S: 0 I: 1000
332 : S: 0 I: 1000
333 : S: 0 I: 1000
334 : S: 0 I: 1000
335 : S: 0 I: 1000
336 : S: 0 I: 1000
337 : S: 0 I: 1000
338 : S: 0 I: 1000
339 : S: 0 I: 1000
340 : S: 0 I: 1000
341 : S: 0 I: 1000
342 : S: 0 I: 1000
343 : S: 0 I: 1000
344 : S: 0 I: 1000
345 : S: 0 I: 1000
346 : S: 0 I: 1000
347 : S: 0 I: 1000
348 : S: 0 I: 1000
349 : S: 0 I: 1000
350 : S: 0 I: 1000
351 : S: 0 I: 1000
352 : S: 0 I: 1000
353 : S: 0 I: 1000
354 : S: 0 I: 1000
355 : S: 0 I: 1000
356 : S: 0 I: 1000
357 : S: 0 I: 1000
358 : S: 0 I: 1000
359 : S: 0 I: 1000
360 : S: 0 I: 1000
361 : S: 0 I: 1000
362 : S: 0 I: 1000
363 : S: 0 I: 1000
364 : S: 0 I: 1000
365 : S: 0 I: 1000
Simulation ended.
